"Cancer","Gene","cosine"
"Esophageal cancer","FAM60A",0.0175252985216252
"Stomach cancer","XCL1",0.0175109711693674
"Colorectal cancer","PTEN",0.017477616082129
"Colorectal cancer","DPYD",0.0173379526663538
"Liver cancer","GOLPH3",0.0173342499906313
"Esophageal cancer","FAIM",0.0173327128235854
"Pancreatic Cancer","MAPKAPK2",0.0172459975949056
"Pancreatic Cancer","CYP17A1",0.01720712818127
"Pancreatic Cancer","ACVR2A",0.0171380204724016
"Pancreatic Cancer","SST",0.0170931387553145
"Pancreatic Cancer","BCL2",0.016993148961396
"Stomach cancer","PGC",0.0169918957257836
"Stomach cancer","MTHFR",0.0169686923600689
"Pancreatic Cancer","GEM",0.0169242109777333
"Liver cancer","IGF2-AS",0.0168591135295783
"Esophageal cancer","CA1",0.0168397036190329
"Stomach cancer","RORC",0.0168296231238777
"Liver cancer","VEGFA",0.0167853805620238
"Pancreatic Cancer","SP4",0.0167487117666552
"Stomach cancer","CD44",0.0167144936308359
"Esophageal cancer","CD34",0.0166973199191742
"Esophageal cancer","UBE2S",0.0166907604967859
"Pancreatic Cancer","GFRA1",0.0166740139472153
"Pancreatic Cancer","TMSB10",0.0166354913537067
"Bile duct cancer","KRT20",0.0165980364100497
"Colorectal cancer","IL6",0.0165939428643439
"Pancreatic Cancer","CDC37",0.0165694250156997
"Bile duct cancer","TNR",0.0165475021202645
"Stomach cancer","TFF1",0.0164942817585618
"Pancreatic Cancer","ACIN1",0.0164330429796348
"Colorectal cancer","CDKN2A",0.0163691415505777
"Liver cancer","BCL2L1",0.0163588176221433
"Pancreatic Cancer","CLDN4",0.0163066209691255
"Colorectal cancer","CCL2",0.0162889515473139
"Colorectal cancer","CCKBR",0.0162734375650057
"Colorectal cancer","ODC1",0.0162479693032861
"Colorectal cancer","PPARD",0.0162455673470648
"Pancreatic Cancer","PDCD2",0.0162203241107423
"Pancreatic Cancer","TRIB3",0.0161733943716593
"Pancreatic Cancer","SPN",0.0161655388291754
"Stomach cancer","TP53",0.0161496687476266
"Colorectal cancer","MAP2K1",0.0160690234449373
"Liver cancer","KRT19",0.0160561436039515
"Esophageal cancer","CHRNA3",0.0160366117522731
"Esophageal cancer","TP53",0.0160195745411964
"Stomach cancer","MMP9",0.0160096003694118
"Pancreatic Cancer","PDCD1",0.0159630157291566
"Stomach cancer","MUC5AC",0.0159493493988331
"Esophageal cancer","LINC01554",0.0159320895651138
"Colorectal cancer","TGFBR1",0.0158550789093099
"Pancreatic Cancer","TRPC5",0.0158433250987683
"Colorectal cancer","WNT3A",0.0158230252485394
"Colorectal cancer","PCNA",0.0158185006194484
"Stomach cancer","AGT",0.0157905455632029
"Liver cancer","GLUL",0.0157835031385922
"Stomach cancer","EGR2",0.0157721151329585
"Liver cancer","HNF1A",0.0157682962101252
"Stomach cancer","HIST1H3D",0.0157623787306562
