"Gene","Bile duct cancer","Colorectal cancer","Esophageal cancer","Liver cancer","Pancreatic Cancer","Stomach cancer","total"
"CD34",0.010416033091443,0.0134489343547907,0.0166973199191742,0.00343520146923643,0.00469815923547425,0.021912840927239,0.0706084889973576
"F3",0.00470241015759435,0.0340365890091457,0.00744351617862894,0.00411503720247853,0.00877779844398348,0.0102610868251197,0.0693364378169507
"MTOR",0.00757775533518806,0.0129788281703253,0.00990029346741823,0.0145300961597958,0.0145067809004732,0.00966031725334757,0.0691540712865482
"VIM",0.0116500439432088,0.0117350360162513,0.00822598665592301,0.0149994154853361,0.0107038341193862,0.0118042288057718,0.0691185450258773
"POR",0.0115213373475293,0.014069459950998,0.0175999901319335,0.00213761472878161,0.00956003032850811,0.0128022318467748,0.0676906643345254
"CD44",0.00523544447634608,0.0229160884008227,0.00211614716611181,0.00212401208414111,0.0175879845556339,0.0167144936308359,0.0666941703138915
"MAPK8",0.00087156453184896,0.0193795637353091,0.00248731665538476,0.0204798330907399,0.00838251864139173,0.0120221639290121,0.0636229605836865
"MUC2",0.0117862332625608,0.021472986347915,0.000619840789089736,0.0010996434134683,0.00826560419093322,0.0197970204350017,0.0630413284389688
"MLH1",0.000611090837146282,0.0558912191910251,0.00117130921295614,0.000178573361968477,0.00107871087475736,0.00323580129976923,0.0621667047776226
"CCK",0.00768095076551535,0.0106375426870864,0.00491920727480928,0.000349846295519713,0.0257264689358358,0.0124598620463654,0.0617738780051318
"BCL2L1",0.00143531638289015,0.0210402609206433,0.00212814904018505,0.0163588176221433,0.0110947436855454,0.00945542635248014,0.0615127140038873
"FOXP3",0.00543207608108737,0.0154607853477131,0.00473142245204234,0.0142556873329801,0.00633715215788438,0.0143611956297231,0.0605783190014304
"CA2",0.0014893427106742,0.0150781911553139,0.00310485165327737,0.000651429308648322,0.0352446771173963,0.0049173125073746,0.0604858044526847
"MTHFR",0,0.0279881842654698,0.0121121756390549,0.00122541976974208,0.00209328069656814,0.0169686923600689,0.0603877527309038
"MSH2",0.00083696626556051,0.051161527583684,0.00126510494690861,0.000426093375824699,0.00293711204712887,0.00276217323439849,0.0593889774535052
"IL2",0.00304305419316887,0.0188295376938362,0.00105038825070079,0.0154313981749345,0.00668999082024834,0.013101962070122,0.0581463312030107
"MUC5AC",0.0206535489864046,0.00845916554225863,0.00105138658001184,0.000895449163739946,0.010991874009529,0.0159493493988331,0.0580007736807771
"MMP9",0.00455565040053696,0.0130146311163542,0.00299469283421339,0.0119327841365781,0.00885756526738305,0.0160096003694118,0.0573649241244776
"CA3",0.00189561229465795,0.0309345144376788,0.00435324964007064,0.002086202268636,0.0153783197323275,0.00184146056689265,0.0564893589402635
"SARNP",0.00100168667630092,0.000631098387703772,0.000161404655389548,0.0530857368205392,0.00132445245655817,0.000152300092220963,0.0563566790887125
"BIRC5",0.00399888437498581,0.017812418212246,0.00412475112068265,0.0110440099077421,0.00978148775910995,0.00837894930550571,0.0551405006802723
"MKI67",0.00545903650729964,0.0146881111509683,0.00653744158662712,0.0112780069320102,0.00659947056967729,0.0103866152258197,0.0549486819724023
"IL6",0.00466170407226791,0.0165939428643439,0.00593362542329298,0.0106571416978767,0.00585682948502493,0.0106577767782553,0.0543610203210618
"GSTP1",0.00145026387176992,0.0180130937580336,0.00441941020905326,0.00832533214772404,0.00336298658685976,0.0186629364958493,0.0542340230692899
"KRAS",0.00343617765568347,0.0242679803159637,0,0.00274721405237325,0.0197232551533144,0.00331616436774305,0.0534907915450779
"HLA-A",0.00184511441051888,0.0208338925852475,0.00379105356749279,0.000216575234070743,0.011907111150773,0.0140881464458994,0.0526818933940024
"ZHX2",0.00405568792536278,0.0179103518771558,0.0009457006805958,0.0145851394202309,0.0111345391002473,0.0033856784467051,0.0520170974502977
"ARC",0.00360407225176742,0.0145230726149114,0.0130758314919621,0.00197622354312643,0.00617688656816033,0.0124758027283364,0.0518318891982641
"SHH",0.00333156354615761,0.00533646446627168,0.00341576708646528,0.00561649227989907,0.0206539129142075,0.0132316664291434,0.0515858667221445
"MDM2",0.00316826651541034,0.0111086118589822,0.00777099580704401,0.0116809238945477,0.00787298906458139,0.00992637410635589,0.0515281612469215
"TGFB1",0.00236998607767166,0.01390544822639,0.00222787455034786,0.0117840997198021,0.00874679930875682,0.0115169215493269,0.0505511294322953
"CXCR4",0.00304816909846101,0.0108522057366395,0.00695858503757436,0.00316387252785614,0.0208553882183786,0.00563367334392198,0.0505118939628316
"CDK4",0.00762605583336792,0.0151308395250788,0.00812535367253623,0.00020155927533763,0.0133459985688566,0.0058319997596976,0.0502618066348749
"MYC",0.00364922543084781,0.0194133473575723,0.00559424175407914,0.00121739404968192,0.00518070347200878,0.0151074377950494,0.0501623498592394
"RUNX3",0.00299936635382611,0.00589094959536376,0.00277619350866915,0.00334860441583388,0.00408318250145623,0.0309345508053117,0.0500328471804608
"ADM",0.00251419044286826,0.00535106889138638,0.00736174815238514,0.0155484354081849,0.00666808365394198,0.0122241743274089,0.0496677008761755
"FHIT",0.00324244204721603,0.00920673788677717,0.0141736973343939,0.00581421655229661,0.0046586603451353,0.0124375143248948,0.0495332684907138
"PTGS2",0.00262793041459643,0.0244566036243676,0.00176815634526401,0.00534104222158196,0.00347123245890404,0.0116431566207419,0.049308121685456
"SDS",0.000888067429092754,0.0243602526975915,0.00468768753198504,0.000197726134111876,0.00580471651475598,0.0124963883546063,0.0484348386621435
"CDX2",0.0069969157141067,0.0183039752788325,0.00193911737844375,0.000661953520099255,0.00228997045773419,0.0181722645488909,0.0483641968981074
"CDKN1A",0.00010708634046146,0.0189626241173959,0.00299153224988134,0.0126821436941891,0.00684243936361898,0.00638829570706209,0.0479741214726089
"TYMS",0.000147328778034685,0.0303676410674067,0.00231627883614427,0.00181957013790373,0.00339562659204671,0.00969647192971658,0.0477429173412527
"MGMT",0.00369485189151876,0.0201851745687485,0.00865791643132503,0.00338556381230017,0.00178875674276166,0.00990105029950331,0.0476133137461574
"HIF1A",0.00151781952277121,0.0114123474363312,0.00445532654771695,0.012933410840436,0.011331302283914,0.00590982424834113,0.0475600308795104
"TNFSF10",0.00327602253798703,0.0148136799566054,0.00145416738468436,0.0149622048269353,0.00847026142018288,0.00403070812608652,0.0470070442524814
"ENPP1",0.000443217242775612,0.00322039374346666,0,0.00197805782329273,0.0394133023051805,0.00183182167341766,0.0468867927881331
"MUC4",0.00584770443205412,0.00225597621461526,0.000968269777317228,0.000240094708100603,0.034883440681985,0.00240725670953179,0.046602742523604
"NAT2",0.000241327609449661,0.0265468822050547,0.00487525454719188,0.00369842404997129,0.00427036577088298,0.00665138435991283,0.0462836385424633
"CYP1A1",0.00551975005490932,0.00956660216898317,0.0138521480773155,0.00820963832531226,0.00390921379871266,0.00500779706677455,0.0460651494920074
"BRCA2",0.000907835439656665,0.00450933573813545,0.00231272350069809,0.00266710316550459,0.0323959711928533,0.00210612412186563,0.0448990931587137
