"Gene","Bile duct cancer","Colorectal cancer","Esophageal cancer","Liver cancer","Pancreatic Cancer","Stomach cancer","total"
"EFNB2",-0.240419506934106,0.694734699321895,1.81801898308643,0,1.66082981341302,1.25610659513452,5.18927058402176
"RGS19",0,0.859037750613171,0,0,2.37232613264116,1.95755257850916,5.1889164617635
"HES6",0,0.81024758644374,0,0.355150288190238,2.31348563261823,1.60273120321976,5.08161471047196
"CASP10",0,1.14671982306495,0.409251766114483,1.50255274102778,0,1.93920343984097,4.99772777004818
"TRADD",0,0,2.01868967854858,-0.47152828499423,1.86150050887517,1.57456032625306,4.98322222868258
"FZD8",0,1.01318843044043,0,0,1.97928354453155,1.98002543436122,4.97249740933321
"DKK2",0.078034224184429,0.899859745133427,-0.753899043691198,0.975390697942096,2.08464406018938,1.66987050605738,4.95390018981552
"LZIC",2.44515783831605,0,0,0,2.14918258132695,0.25280448627074,4.84714490591373
"FBXO39",0,1.14671982306495,0,1.60791325668561,0,2.04456395549879,4.79919703524935
"ZNF165",0,1.14671982306495,0,1.60791325668561,0,2.04456395549879,4.79919703524935
"EFNA2",0,0.741254714956788,2.01868967854858,-1.28245850121056,1.966861024533,1.35141677493885,4.79576369176666
"FOXR1",0,0,2.01868967854858,0.914766076125661,1.86150050887517,0,4.79495626354941
"EGFL7",0,0.676716193819217,1.7310076060968,1.32023118423382,0,1.06373470248707,4.79168968663691
"IFNG",0,0.358262462700682,1.81801898308643,-0.0968348355528194,1.60367139957307,1.09358766563675,4.77670567544411
"ARSI",0,0,2.71183685910853,0,0,2.04456395549879,4.75640081460732
"COG8",0,0.453572642505007,2.01868967854858,0.914766076125661,0,1.35141677493885,4.7384451721181
"TMED6",0,0.453572642505007,2.01868967854858,0.914766076125661,0,1.35141677493885,4.7384451721181
"FAM3B",0,1.07261185091123,0,1.36675119986872,0.608737540379801,1.60273120321976,4.6508317943795
"FZD6",0,0.859037750613172,1.57685692626954,-1.7242912534896,2.11281493715608,1.80340189868191,4.6278202592311
"ADAMTS18",0,0.905557766248065,0,0,2.11281493715608,1.60273120321976,4.6211039066239
"POU3F2",0,0,0,0,2.55464768943511,2.04456395549879,4.59921164493391
"GSTO2",2.56294087397243,0.964398266270998,0,1.42559169989165,0,-0.440342694289206,4.51258814584587
"WNT10B",-1.17472874431094,0.212410585688119,1.7775276217317,-0.220213856713324,2.08464406018938,1.82587475453397,4.5055144211189
"PAX4",0,-0.645039646163103,2.30637175100036,1.20244814857744,0,1.63909884739063,4.50287910080533
"AGR3",2.85062294642421,0,0,1.60791325668561,0,0,4.45853620310982
"MTBP",2.85062294642421,0,0,1.60791325668561,0,0,4.45853620310982
"OSBP",2.85062294642421,0,0,1.60791325668561,0,0,4.45853620310982
"OSBP2",2.85062294642421,0,0,1.60791325668561,0,0,4.45853620310982
"WWTR1",0.211565616808952,-0.799190325990361,0,1.16608050440657,2.2181754528139,1.60273120321976,4.39936245125882
